videoID,ID,Religion_PRED,Race_PRED,Gender_PRED,Gender Identity/Sexual Orientation_PRED,Immigration_PRED,Ethnicity/Identitarian/Nationalism_PRED,Anti-semitism_PRED,n_flavors,predicted_at,Active_Columns,Label,TAGS,GroupedTAGS
euf7WlVMoP8,13267 - 13285,0,0,0,0,0,0,1,1,2023-08-10T14:52:22,Anti-semitism_PRED,Hate,LGBT|SocialJustice,LGBT
ewFxzPhB8NI,13422 - 13429,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
ewRp6oV-sTw,13430 - 13430,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight,AntiSJW
ewdwXaZv_xk,13420 - 13421,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
exIa3DEqXHU,13442 - 13472,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,SocialJustice,Social Justice
f0GeDNP_2mw,15469 - 15485,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiSJW,AntiSJW
f6is_8KxEvQ,12947 - 12947,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,LGBT|SocialJustice,LGBT
f7iG5L17_yg,12948 - 12966,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
f8Pkc2aVNWk,12981 - 12996,0,1,0,0,0,1,0,2,2023-08-10T14:52:22,"Race_PRED, Ethnicity/Identitarian/Nationalism_PRED",Hate,WhiteIdentitarian,White Identitarian
fBt1z06YNhE,13150 - 13150,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
fC-HrgpwUmY,13151 - 13169,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
fG70ziZrgI0,13781 - 13787,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|Educational,AntiSJW
fGxDGMKFNSE,13789 - 13797,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
fH1cfwlNYtY,13798 - 13806,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight,AntiSJW
fICENOLXyoE,13837 - 13874,1,0,1,0,0,0,0,2,2023-08-10T14:52:22,"Religion_PRED, Gender_PRED",Hate,AntiSJW,AntiSJW
fJ04_qMZ3-k,13883 - 13894,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiSJW|LGBT,LGBT
fLyL5x0oBGw,13971 - 14032,0,1,0,0,0,1,0,2,2023-08-10T14:52:22,"Race_PRED, Ethnicity/Identitarian/Nationalism_PRED",Hate,Conspiracy|WhiteIdentitarian,White Identitarian
fRAfow36stk,14048 - 14048,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,SocialJustice|Socialist,Social Justice
fUk2iwTu16U,14084 - 14087,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
fVRLHdFlc9I,14135 - 14147,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW,AntiSJW
fVTugfQtlwY,14148 - 14155,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Black|SocialJustice,Social Justice
fZPvPGsCyqo,14161 - 14165,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|WhiteIdentitarian,White Identitarian
fdsB1tA9N1I,13189 - 13210,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,Educational|SocialJustice,Social Justice
fe1VIjpP5Nc,13638 - 13639,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
fedubcdmKto,13641 - 13642,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
ffNxwxpTpeI,13963 - 13964,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
